id_grade,lat_centroide,lon_centroide,populacao,domicilios,bairro,tipo_local,zona,area_km2,municipio,cd_municipio
1KME6175N8929,-21.354496,-42.641355,10,2,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8929,-21.354861,-42.651007,2,1,Sereno,distrito urbano,urbana,1.0007,Cataguases,3115300
1KME6173N8929,-21.355227,-42.660659,87,33,Ponte Alta,localidade rural,urbana,1.0007,Cataguases,3115300
1KME6172N8929,-21.355592,-42.670311,26,9,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6171N8929,-21.355957,-42.679964,0,0,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6170N8929,-21.356321,-42.689616,2,1,Sebastião Adolfo,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8929,-21.356685,-42.699268,1,1,Cataguarino,distrito urbano,urbana,1.0006,Cataguases,3115300
1KME6168N8929,-21.357049,-42.708921,0,0,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6167N8929,-21.357413,-42.718573,19,5,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8929,-21.357776,-42.728225,0,0,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6165N8929,-21.358139,-42.737878,0,0,Sinimbu,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6164N8929,-21.358501,-42.74753,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8929,-21.358864,-42.757183,10,6,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8929,-21.359226,-42.766835,36,8,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6161N8929,-21.359587,-42.776488,0,0,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6185N8928,-21.359827,-42.544438,2,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8928,-21.360196,-42.554091,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8928,-21.360565,-42.563743,8,5,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8928,-21.360933,-42.573395,4,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6181N8928,-21.361301,-42.583048,8,3,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8928,-21.361669,-42.5927,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8928,-21.362036,-42.602352,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8928,-21.362403,-42.612005,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8928,-21.36277,-42.621657,4,2,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8928,-21.363136,-42.63131,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8928,-21.363502,-42.640962,4,2,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6174N8928,-21.363868,-42.650615,30,9,Hermenegildo Marote,bairro,urbana,1.0007,Cataguases,3115300
1KME6173N8928,-21.364233,-42.660268,259,96,São Diniz,bairro,urbana,1.0007,Cataguases,3115300
1KME6172N8928,-21.364598,-42.66992,629,243,São Diniz,bairro,urbana,1.0006,Cataguases,3115300
1KME6171N8928,-21.364963,-42.679573,593,245,Sebastião Adolfo,bairro,urbana,1.0006,Cataguases,3115300
1KME6170N8928,-21.365328,-42.689225,292,113,Sebastião Adolfo,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8928,-21.365692,-42.698878,3,1,Cataguarino,distrito urbano,urbana,1.0006,Cataguases,3115300
1KME6168N8928,-21.366056,-42.708531,15,4,Jardim Bandeirantes I,bairro,urbana,1.0006,Cataguases,3115300
1KME6167N8928,-21.366419,-42.718184,18,5,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8928,-21.366783,-42.727836,0,0,Barão de Camargos,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6165N8928,-21.367145,-42.737489,0,0,Sinimbu,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6164N8928,-21.367508,-42.747142,11,3,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
